"","UF","NU_ANO","NÍVEL_ENSINO","casos_total","prop_F","prop_M","casos_F","casos_M","prop_igno","prop_indef","prop_pard","prop_ama","prop_pret","prop_bran","casos_igno","casos_indef","casos_pard","casos_ama","casos_pret","casos_bran"
"128","ES",2014,"Indefinido",2,1,0,2,0,0,0,0.5,0,0,0.5,0,0,1,0,0,1
"129","ES",2015,"ENSINO FUNDAMENTAL",1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"130","ES",2016,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"131","ES",2017,"ENSINO FUNDAMENTAL",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"132","GO",2013,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",3,1,0,3,0,0.666666666666667,0,0,0,0,0.333333333333333,2,0,0,0,0,1
"133","GO",2013,"ENSINO MÉDIO",1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"134","GO",2013,"Indefinido",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"135","GO",2015,"EDUCAÇÃO INFANTIL",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"136","GO",2020,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"137","GO",2021,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",2,1,0,2,0,0.5,0,0,0,0,0.5,1,0,0,0,0,1
"138","GO",2021,"ENSINO FUNDAMENTAL",3,1,0,3,0,0.333333333333333,0,0,0,0,0.666666666666667,1,0,0,0,0,2
"139","GO",2021,"ENSINO MÉDIO",3,1,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0
"140","GO",2022,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",2,1,0,2,0,0.5,0.5,0,0,0,0,1,1,0,0,0,0
"141","GO",2022,"EDUCAÇÃO INFANTIL",1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"142","GO",2022,"ENSINO FUNDAMENTAL",3,1,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0
"143","GO",2022,"ENSINO MÉDIO",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"144","GO",2023,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",2,0.5,0.5,1,1,0,0,0,0,0,1,0,0,0,0,0,2
"145","GO",2023,"EDUCAÇÃO INFANTIL",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"146","GO",2023,"Indefinido",2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2
"147","GO",2024,"ENSINO FUNDAMENTAL",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"148","MA",2014,"ENSINO FUNDAMENTAL",5,1,0,5,0,0,0,0.8,0,0,0.2,0,0,4,0,0,1
"149","MA",2020,"ENSINO FUNDAMENTAL",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"150","MA",2021,"Indefinido",1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
